Nome,Descrição,"Preço normal",Imagens
\nVerniz Gel EVO Lydia é <strong>100% ecológico</strong>, o que os torna perfeitos para clientes preocupadas com o meio ambiente e com a sua saúde.
\nTodo o sistema verniz gel EVO é também totalmente compatível com a ampla gama de produtos da BIO Sculpture.
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li>Efeito 100% Gel</li>
\n 	<li>Sem primários</li>
\n 	<li>Altamente pigmentado para fácil cobertura;</li>
\n 	<li>Não encolhe, auto nivelante, e não amarela;</li>
\n 	<li>Até 4 semanas, fórmula de longa duração;</li>
\n 	<li>Catalisa em LED e UV;</li>
\n 	<li>Remoção rápida por impregnação de solução (soak-off)</li>
\n 	<li>10 Free - livre de 10 ingredientes tóxicos.</li>
\n 	<li>Rentabilidade - um frasco para 470 camadas de unhas tamanho médio.</li>
\n</ul>
\n</li>
\n</ul>
\n<strong><a href=""https://www.biosculpture.com/contact_us/"">Produto produzido na áfrica do Sul.</a></strong>
\n<h2>Valores</h2>
\nA<a href=""https://biosculpture.pt/sobre-a-bio-sculpture/""> <strong>BIO Sculpture</strong></a> cuida da unha natural e pele, utiliza produtos de tratamento antes e depois da aplicação com gel ou verniz gel, ou seja assegura que a unha e pele se mantenha saudável. Utilizando ingredientes que não só nutrem e hidratam as unhas e pele, como também embelezam.
\n
\nAssim, operamos com responsabilidade a nível do bem estar social, animal e ambiental, sem nunca comprometer os requisitos regulamentares dos ingredientes.
\n
\nTodos os nossos produtos são <strong>VEGAN</strong>, <strong>não tóxicos</strong> e contribuem para o aumento da saúde das unhas e pele, sendo adequados para grávidas e doentes oncológicos.
\n
\nA marca BIO Sculpture <strong>NÃO testa em animais</strong> e <strong>NÃO utiliza ingredientes de origem animal</strong>.
\n
\nTrabalhar com profissionalismo e formar profissionais altamente qualificados é uma das nossas missões. Os produtos BIO são vendidos a profissionais, caso não o seja, receberá indicações de como aplicar e maximizar o produto e seus resultados.
\n
\nA BIO Sculpture procura desenvolver embalagens que potenciam a utilização completa do produto de forma a que a profissional rentabilize por inteiro o produto que adquiriu e que seja amiga do ambiente. Todas as embalagens são recicláveis. Tratamos, embelezamos e reciclamos.
\n
\n<img class=""alignnone wp-image-931"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/cruelty-free-sign-212x300.jpg"" alt="""" width=""92"" height=""130"" /> <img class=""alignnone wp-image-932"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/vegan-sign-212x300.jpg"" alt="""" width=""82"" height=""116"" />
\n
\n<strong>Representação de cores:</strong>
\nFazemos todos os esforços para garantir que todas as imagens dos nossos produtos sejam tão precisas quanto possível. Devido às configurações de cor / resolução em dispositivos eletrónicos, a imagens das cores podem diferir ligeiramente do produto físico.","17,84","https://biosculpture.pt/wp-content/uploads/2022/04/76_Lydia_Evo_Logo-2.jpg, https://biosculpture.pt/wp-content/uploads/2022/04/evo-lydia_hand1024x1024.jpg"
"VGel 078 Chevon 12ml","<h2>Verniz Gel EVO Chevon</h2>
\nVerniz Gel EVO Chevon é <strong>100% ecológico</strong>, o que os torna perfeitos para clientes preocupadas com o meio ambiente e com a sua saúde.
\nTodo o sistema verniz gel EVO é também totalmente compatível com a ampla gama de produtos da BIO Sculpture.
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li>Efeito 100% Gel</li>
\n 	<li>Sem primários</li>
\n 	<li>Altamente pigmentado para fácil cobertura;</li>
\n 	<li>Não encolhe, auto nivelante, e não amarela;</li>
\n 	<li>Até 4 semanas, fórmula de longa duração;</li>
\n 	<li>Catalisa em LED e UV;</li>
\n 	<li>Remoção rápida por impregnação de solução (soak-off)</li>
\n 	<li>10 Free - livre de 10 ingredientes tóxicos.</li>
\n 	<li>Rentabilidade - um frasco para 470 camadas de unhas tamanho médio.</li>
\n</ul>
\n</li>
\n</ul>
\n<strong><a href=""https://www.biosculpture.com/contact_us/"">Produto produzido na áfrica do Sul.</a></strong>
\n<h2>Valores</h2>
\nA<a href=""https://biosculpture.pt/sobre-a-bio-sculpture/""> <strong>BIO Sculpture</strong></a> cuida da unha natural e pele, utiliza produtos de tratamento antes e depois da aplicação com gel ou verniz gel, ou seja assegura que a unha e pele se mantenha saudável. Utilizando ingredientes que não só nutrem e hidratam as unhas e pele, como também embelezam.
\n
\nAssim, operamos com responsabilidade a nível do bem estar social, animal e ambiental, sem nunca comprometer os requisitos regulamentares dos ingredientes.
\n
\nTodos os nossos produtos são <strong>VEGAN</strong>, <strong>não tóxicos</strong> e contribuem para o aumento da saúde das unhas e pele, sendo adequados para grávidas e doentes oncológicos.
\n
\nA marca BIO Sculpture <strong>NÃO testa em animais</strong> e <strong>NÃO utiliza ingredientes de origem animal</strong>.
\n
\nTrabalhar com profissionalismo e formar profissionais altamente qualificados é uma das nossas missões. Os produtos BIO são vendidos a profissionais, caso não o seja, receberá indicações de como aplicar e maximizar o produto e seus resultados.
\n
\nA BIO Sculpture procura desenvolver embalagens que potenciam a utilização completa do produto de forma a que a profissional rentabilize por inteiro o produto que adquiriu e que seja amiga do ambiente. Todas as embalagens são recicláveis. Tratamos, embelezamos e reciclamos.
\n
\n<img class=""alignnone wp-image-931"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/cruelty-free-sign-212x300.jpg"" alt="""" width=""92"" height=""130"" /> <img class=""alignnone wp-image-932"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/vegan-sign-212x300.jpg"" alt="""" width=""82"" height=""116"" />
\n
\n<strong>Representação de cores:</strong>
\nFazemos todos os esforços para garantir que todas as imagens dos nossos produtos sejam tão precisas quanto possível. Devido às configurações de cor / resolução em dispositivos eletrónicos, a imagens das cores podem diferir ligeiramente do produto físico.","17,84","https://biosculpture.pt/wp-content/uploads/2022/04/78_Chevon_Evo_Logo.jpg, https://biosculpture.pt/wp-content/uploads/2022/04/evo-chevon_over_penny_1024x1024.jpg"
"VGel 077 Sybil 12ml","<h2>Verniz Gel EVO Sybil</h2>
\nVerniz Gel EVO Sybil é <strong>100% ecológico</strong>, o que os torna perfeitos para clientes preocupadas com o meio ambiente e com a sua saúde.
\nTodo o sistema verniz gel EVO é também totalmente compatível com a ampla gama de produtos da BIO Sculpture.
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li>Efeito 100% Gel</li>
\n 	<li>Sem primários</li>
\n 	<li>Altamente pigmentado para fácil cobertura;</li>
\n 	<li>Não encolhe, auto nivelante, e não amarela;</li>
\n 	<li>Até 4 semanas, fórmula de longa duração;</li>
\n 	<li>Catalisa em LED e UV;</li>
\n 	<li>Remoção rápida por impregnação de solução (soak-off)</li>
\n 	<li>10 Free - livre de 10 ingredientes tóxicos.</li>
\n 	<li>Rentabilidade - um frasco para 470 camadas de unhas tamanho médio.</li>
\n</ul>
\n</li>
\n</ul>
\n<strong><a href=""https://www.biosculpture.com/contact_us/"">Produto produzido na áfrica do Sul.</a></strong>
\n<h2>Valores</h2>
\nA<a href=""https://biosculpture.pt/sobre-a-bio-sculpture/""> <strong>BIO Sculpture</strong></a> cuida da unha natural e pele, utiliza produtos de tratamento antes e depois da aplicação com gel ou verniz gel, ou seja assegura que a unha e pele se mantenha saudável. Utilizando ingredientes que não só nutrem e hidratam as unhas e pele, como também embelezam.
\n
\nAssim, operamos com responsabilidade a nível do bem estar social, animal e ambiental, sem nunca comprometer os requisitos regulamentares dos ingredientes.
\n
\nTodos os nossos produtos são <strong>VEGAN</strong>, <strong>não tóxicos</strong> e contribuem para o aumento da saúde das unhas e pele, sendo adequados para grávidas e doentes oncológicos.
\n
\nA marca BIO Sculpture <strong>NÃO testa em animais</strong> e <strong>NÃO utiliza ingredientes de origem animal</strong>.
\n
\nTrabalhar com profissionalismo e formar profissionais altamente qualificados é uma das nossas missões. Os produtos BIO são vendidos a profissionais, caso não o seja, receberá indicações de como aplicar e maximizar o produto e seus resultados.
\n
\nA BIO Sculpture procura desenvolver embalagens que potenciam a utilização completa do produto de forma a que a profissional rentabilize por inteiro o produto que adquiriu e que seja amiga do ambiente. Todas as embalagens são recicláveis. Tratamos, embelezamos e reciclamos.
\n
\n<img class=""alignnone wp-image-931"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/cruelty-free-sign-212x300.jpg"" alt="""" width=""92"" height=""130"" /> <img class=""alignnone wp-image-932"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/vegan-sign-212x300.jpg"" alt="""" width=""82"" height=""116"" />
\n
\n<strong>Representação de cores:</strong>
\nFazemos todos os esforços para garantir que todas as imagens dos nossos produtos sejam tão precisas quanto possível. Devido às configurações de cor / resolução em dispositivos eletrónicos, a imagens das cores podem diferir ligeiramente do produto físico.","17,84","https://biosculpture.pt/wp-content/uploads/2022/04/77_Sybil_Evo_Logo.jpg-2.webp, https://biosculpture.pt/wp-content/uploads/2022/04/evo-sybil_hand1024x1024.jpg"
"VGel 079 Bella 12ml","<h2>Verniz Gel EVO Bella</h2>
\nVerniz Gel EVO Bella é <strong>100% ecológico</strong>, o que os torna perfeitos para clientes preocupadas com o meio ambiente e com a sua saúde.
\nTodo o sistema verniz gel EVO é também totalmente compatível com a ampla gama de produtos da BIO Sculpture.
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li>Efeito 100% Gel</li>
\n 	<li>Sem primários</li>
\n 	<li>Altamente pigmentado para fácil cobertura;</li>
\n 	<li>Não encolhe, auto nivelante, e não amarela;</li>
\n 	<li>Até 4 semanas, fórmula de longa duração;</li>
\n 	<li>Catalisa em LED e UV;</li>
\n 	<li>Remoção rápida por impregnação de solução (soak-off)</li>
\n 	<li>10 Free - livre de 10 ingredientes tóxicos.</li>
\n 	<li>Rentabilidade - um frasco para 470 camadas de unhas tamanho médio.</li>
\n</ul>
\n</li>
\n</ul>
\n<strong><a href=""https://www.biosculpture.com/contact_us/"">Produto produzido na áfrica do Sul.</a></strong>
\n<h2>Valores</h2>
\nA<a href=""https://biosculpture.pt/sobre-a-bio-sculpture/""> <strong>BIO Sculpture</strong></a> cuida da unha natural e pele, utiliza produtos de tratamento antes e depois da aplicação com gel ou verniz gel, ou seja assegura que a unha e pele se mantenha saudável. Utilizando ingredientes que não só nutrem e hidratam as unhas e pele, como também embelezam.
\n
\nAssim, operamos com responsabilidade a nível do bem estar social, animal e ambiental, sem nunca comprometer os requisitos regulamentares dos ingredientes.
\n
\nTodos os nossos produtos são <strong>VEGAN</strong>, <strong>não tóxicos</strong> e contribuem para o aumento da saúde das unhas e pele, sendo adequados para grávidas e doentes oncológicos.
\n
\nA marca BIO Sculpture <strong>NÃO testa em animais</strong> e <strong>NÃO utiliza ingredientes de origem animal</strong>.
\n
\nTrabalhar com profissionalismo e formar profissionais altamente qualificados é uma das nossas missões. Os produtos BIO são vendidos a profissionais, caso não o seja, receberá indicações de como aplicar e maximizar o produto e seus resultados.
\n
\nA BIO Sculpture procura desenvolver embalagens que potenciam a utilização completa do produto de forma a que a profissional rentabilize por inteiro o produto que adquiriu e que seja amiga do ambiente. Todas as embalagens são recicláveis. Tratamos, embelezamos e reciclamos.
\n
\n<img class=""alignnone wp-image-931"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/cruelty-free-sign-212x300.jpg"" alt="""" width=""92"" height=""130"" /> <img class=""alignnone wp-image-932"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/vegan-sign-212x300.jpg"" alt="""" width=""82"" height=""116"" />
\n
\n<strong>Representação de cores:</strong>
\nFazemos todos os esforços para garantir que todas as imagens dos nossos produtos sejam tão precisas quanto possível. Devido às configurações de cor / resolução em dispositivos eletrónicos, a imagens das cores podem diferir ligeiramente do produto físico.","17,84","https://biosculpture.pt/wp-content/uploads/2022/04/79_Bella_Evo_Logo.jpg.webp, https://biosculpture.pt/wp-content/uploads/2022/04/Bella-2.jpg"
"VGel 080 Minke 12ml","<h2>Verniz Gel EVO Minke</h2>
\nVerniz Gel EVO Minke é <strong>100% ecológico</strong>, o que os torna perfeitos para clientes preocupadas com o meio ambiente e com a sua saúde.
\nTodo o sistema verniz gel EVO é também totalmente compatível com a ampla gama de produtos da BIO Sculpture.
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li>Efeito 100% Gel</li>
\n 	<li>Sem primários</li>
\n 	<li>Altamente pigmentado para fácil cobertura;</li>
\n 	<li>Não encolhe, auto nivelante, e não amarela;</li>
\n 	<li>Até 4 semanas, fórmula de longa duração;</li>
\n 	<li>Catalisa em LED e UV;</li>
\n 	<li>Remoção rápida por impregnação de solução (soak-off)</li>
\n 	<li>10 Free - livre de 10 ingredientes tóxicos.</li>
\n 	<li>Rentabilidade - um frasco para 470 camadas de unhas tamanho médio.<strong><a href=""https://www.biosculpture.com/contact_us/"">Produto produzido na áfrica do Sul.</a></strong>
\n<h2>Valores</h2>
\nA<a href=""https://biosculpture.pt/sobre-a-bio-sculpture/""> <strong>BIO Sculpture</strong></a> cuida da unha natural e pele, utiliza produtos de tratamento antes e depois da aplicação com gel ou verniz gel, ou seja assegura que a unha e pele se mantenha saudável. Utilizando ingredientes que não só nutrem e hidratam as unhas e pele, como também embelezam.
\n
\nAssim, operamos com responsabilidade a nível do bem estar social, animal e ambiental, sem nunca comprometer os requisitos regulamentares dos ingredientes.
\n
\nTodos os nossos produtos são <strong>VEGAN</strong>, <strong>não tóxicos</strong> e contribuem para o aumento da saúde das unhas e pele, sendo adequados para grávidas e doentes oncológicos.
\n
\nA marca BIO Sculpture <strong>NÃO testa em animais</strong> e <strong>NÃO utiliza ingredientes de origem animal</strong>.
\n
\nTrabalhar com profissionalismo e formar profissionais altamente qualificados é uma das nossas missões. Os produtos BIO são vendidos a profissionais, caso não o seja, receberá indicações de como aplicar e maximizar o produto e seus resultados.
\n
\nA BIO Sculpture procura desenvolver embalagens que potenciam a utilização completa do produto de forma a que a profissional rentabilize por inteiro o produto que adquiriu e que seja amiga do ambiente. Todas as embalagens são recicláveis. Tratamos, embelezamos e reciclamos.
\n
\n<img class=""alignnone wp-image-931"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/cruelty-free-sign-212x300.jpg"" alt="""" width=""92"" height=""130"" /> <img class=""alignnone wp-image-932"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/vegan-sign-212x300.jpg"" alt="""" width=""82"" height=""116"" />
\n
\n<strong>Representação de cores:</strong>
\nFazemos todos os esforços para garantir que todas as imagens dos nossos produtos sejam tão precisas quanto possível. Devido às configurações de cor / resolução em dispositivos eletrónicos, a imagens das cores podem diferir ligeiramente do produto físico.</li>
\n</ul>
\n</li>
\n</ul>","17,84","https://biosculpture.pt/wp-content/uploads/2022/04/80_Minke_Evo_Logo.jpg.webp, https://biosculpture.pt/wp-content/uploads/2022/04/evo-minke_hands_1_1024x1024.jpg, https://biosculpture.pt/wp-content/uploads/2022/04/Minke-2.png"
"VGel 030 Kate 12ml","<h2>Verniz Gel EVO Kate</h2>
\nVerniz Gel EVO Kate é <strong>100% ecológico</strong>, o que os torna perfeitos para clientes preocupadas com o meio ambiente e com a sua saúde.
\nTodo o sistema verniz gel EVO é também totalmente compatível com a ampla gama de produtos da BIO Sculpture.
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li>Efeito 100% Gel</li>
\n 	<li>Sem primários</li>
\n 	<li>Altamente pigmentado para fácil cobertura;</li>
\n 	<li>Não encolhe, auto nivelante, e não amarela;</li>
\n 	<li>Até 4 semanas, fórmula de longa duração;</li>
\n 	<li>Catalisa em LED e UV;</li>
\n 	<li>Remoção rápida por impregnação de solução (soak-off)</li>
\n 	<li>10 Free - livre de 10 ingredientes tóxicos.</li>
\n 	<li>Rentabilidade - um frasco para 470 camadas de unhas tamanho médio.</li>
\n</ul>
\n</li>
\n</ul>
\n<strong><a href=""https://www.biosculpture.com/contact_us/"">Produto produzido na áfrica do Sul.</a></strong>
\n<h2>Valores</h2>
\nA<a href=""https://biosculpture.pt/sobre-a-bio-sculpture/""> <strong>BIO Sculpture</strong></a> cuida da unha natural e pele, utiliza produtos de tratamento antes e depois da aplicação com gel ou verniz gel, ou seja assegura que a unha e pele se mantenha saudável. Utilizando ingredientes que não só nutrem e hidratam as unhas e pele, como também embelezam.
\n
\nAssim, operamos com responsabilidade a nível do bem estar s1ocial, animal e ambiental, sem nunca comprometer os requisitos regulamentares dos ingredientes.
\n
\nTodos os nossos produtos são <strong>VEGAN</strong>, <strong>não tóxicos</strong> e contribuem para o aumento da saúde das unhas e pele, sendo adequados para grávidas e doentes oncológicos.
\n
\nA marca BIO Sculpture <strong>NÃO testa em animais</strong> e <strong>NÃO utiliza ingredientes de origem animal</strong>.
\n
\nTrabalhar com profissionalismo e formar profissionais altamente qualificados é uma das nossas missões. Os produtos BIO são vendidos a profissionais, caso não o seja, receberá indicações de como aplicar e maximizar o produto e seus resultados.
\n
\nA BIO Sculpture procura desenvolver embalagens que potenciam a utilização completa do produto de forma a que a profissional rentabilize por inteiro o produto que adquiriu e que seja amiga do ambiente. Todas as embalagens são recicláveis. Tratamos, embelezamos e reciclamos.
\n
\n<img class=""alignnone wp-image-931"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/cruelty-free-sign-212x300.jpg"" alt="""" width=""92"" height=""130"" /> <img class=""alignnone wp-image-932"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/vegan-sign-212x300.jpg"" alt="""" width=""82"" height=""116"" />
\n
\n<strong>Representação de cores:</strong>
\nFazemos todos os esforços para garantir que todas as imagens dos nossos produtos sejam tão precisas quanto possível. Devido às configurações de cor / resolução em dispositivos eletrónicos, a imagens das cores podem diferir ligeiramente do produto físico.","17,84","https://biosculpture.pt/wp-content/uploads/2022/04/30_Kate_Evo_Logo.jpg-2.webp, https://biosculpture.pt/wp-content/uploads/2022/04/evo-kate_1024x1024.jpg"
"VGel 031 Caroline 12ml","<h2>Verniz Gel EVO Caroline</h2>
\nVerniz Gel EVO Caroline é <strong>100% ecológico</strong>, o que os torna perfeitos para clientes preocupadas com o meio ambiente e com a sua saúde.
\nTodo o sistema verniz gel EVO é também totalmente compatível com a ampla gama de produtos da BIO Sculpture.
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li>Efeito 100% Gel</li>
\n 	<li>Sem primários</li>
\n 	<li>Altamente pigmentado para fácil cobertura;</li>
\n 	<li>Não encolhe, auto nivelante, e não amarela;</li>
\n 	<li>Até 4 semanas, fórmula de longa duração;</li>
\n 	<li>Catalisa em LED e UV;</li>
\n 	<li>Remoção rápida por impregnação de solução (soak-off)</li>
\n 	<li>10 Free - livre de 10 ingredientes tóxicos.</li>
\n 	<li>Rentabilidade - um frasco para 470 camadas de unhas tamanho médio.</li>
\n</ul>
\n</li>
\n</ul>
\n<strong><a href=""https://www.biosculpture.com/contact_us/"">Produto produzido na áfrica do Sul.</a></strong>
\n<h2>Valores</h2>
\nA<a href=""https://biosculpture.pt/sobre-a-bio-sculpture/""> <strong>BIO Sculpture</strong></a> cuida da unha natural e pele, utiliza produtos de tratamento antes e depois da aplicação com gel ou verniz gel, ou seja assegura que a unha e pele se mantenha saudável. Utilizando ingredientes que não só nutrem e hidratam as unhas e pele, como também embelezam.
\n
\nAssim, operamos com responsabilidade a nível do bem estar social, animal e ambiental, sem nunca comprometer os requisitos regulamentares dos ingredientes.
\n
\nTodos os nossos produtos são <strong>VEGAN</strong>, <strong>não tóxicos</strong> e contribuem para o aumento da saúde das unhas e pele, sendo adequados para grávidas e doentes oncológicos.
\n
\nA marca BIO Sculpture <strong>NÃO testa em animais</strong> e <strong>NÃO utiliza ingredientes de origem animal</strong>.
\n
\nTrabalhar com profissionalismo e formar profissionais altamente qualificados é uma das nossas missões. Os produtos BIO são vendidos a profissionais, caso não o seja, receberá indicações de como aplicar e maximizar o produto e seus resultados.
\n
\nA BIO Sculpture procura desenvolver embalagens que potenciam a utilização completa do produto de forma a que a profissional rentabilize por inteiro o produto que adquiriu e que seja amiga do ambiente. Todas as embalagens são recicláveis. Tratamos, embelezamos e reciclamos.
\n
\n<img class=""alignnone wp-image-931"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/cruelty-free-sign-212x300.jpg"" alt="""" width=""92"" height=""130"" /> <img class=""alignnone wp-image-932"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/vegan-sign-212x300.jpg"" alt="""" width=""82"" height=""116"" />
\n
\n<strong>Representação de cores:</strong>
\nFazemos todos os esforços para garantir que todas as imagens dos nossos produtos sejam tão precisas quanto possível. Devido às configurações de cor / resolução em dispositivos eletrónicos, a imagens das cores podem diferir ligeiramente do produto físico.","17,84","https://biosculpture.pt/wp-content/uploads/2022/04/31_Caroline_Evo_Logo.jpg.webp, https://biosculpture.pt/wp-content/uploads/2022/04/Caroline-2.jpg"
"VGel 033 Catherine 12ml","<h2>Verniz Gel EVO Catherine</h2>
\nVerniz Gel EVO Catherine é <strong>100% ecológico</strong>, o que os torna perfeitos para clientes preocupadas com o meio ambiente e com a sua saúde.
\nTodo o sistema verniz gel EVO é também totalmente compatível com a ampla gama de produtos da BIO Sculpture.
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li>Efeito 100% Gel</li>
\n 	<li>Sem primários</li>
\n 	<li>Altamente pigmentado para fácil cobertura;</li>
\n 	<li>Não encolhe, auto nivelante, e não amarela;</li>
\n 	<li>Até 4 semanas, fórmula de longa duração;</li>
\n 	<li>Catalisa em LED e UV;</li>
\n 	<li>Remoção rápida por impregnação de solução (soak-off)</li>
\n 	<li>10 Free - livre de 10 ingredientes tóxicos.</li>
\n 	<li>Rentabilidade - um frasco para 470 camadas de unhas tamanho médio.</li>
\n</ul>
\n</li>
\n</ul>
\n<strong><a href=""https://www.biosculpture.com/contact_us/"">Produto produzido na áfrica do Sul.</a></strong>
\n<h2>Valores</h2>
\nA<a href=""https://biosculpture.pt/sobre-a-bio-sculpture/""> <strong>BIO Sculpture</strong></a> cuida da unha natural e pele, utiliza produtos de tratamento antes e depois da aplicação com gel ou verniz gel, ou seja assegura que a unha e pele se mantenha saudável. Utilizando ingredientes que não só nutrem e hidratam as unhas e pele, como também embelezam.
\n
\nAssim, operamos com responsabilidade a nível do bem estar social, animal e ambiental, sem nunca comprometer os requisitos regulamentares dos ingredientes.
\n
\nTodos os nossos produtos são <strong>VEGAN</strong>, <strong>não tóxicos</strong> e contribuem para o aumento da saúde das unhas e pele, sendo adequados para grávidas e doentes oncológicos.
\n
\nA marca BIO Sculpture <strong>NÃO testa em animais</strong> e <strong>NÃO utiliza ingredientes de origem animal</strong>.
\n
\nTrabalhar com profissionalismo e formar profissionais altamente qualificados é uma das nossas missões. Os produtos BIO são vendidos a profissionais, caso não o seja, receberá indicações de como aplicar e maximizar o produto e seus resultados.
\n
\nA BIO Sculpture procura desenvolver embalagens que potenciam a utilização completa do produto de forma a que a profissional rentabilize por inteiro o produto que adquiriu e que seja amiga do ambiente. Todas as embalagens são recicláveis. Tratamos, embelezamos e reciclamos.
\n
\n<img class=""alignnone wp-image-931"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/cruelty-free-sign-212x300.jpg"" alt="""" width=""92"" height=""130"" /> <img class=""alignnone wp-image-932"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/vegan-sign-212x300.jpg"" alt="""" width=""82"" height=""116"" />
\n
\n<strong>Representação de cores:</strong>
\nFazemos todos os esforços para garantir que todas as imagens dos nossos produtos sejam tão precisas quanto possível. Devido às configurações de cor / resolução em dispositivos eletrónicos, a imagens das cores podem diferir ligeiramente do produto físico.","17,84",https://biosculpture.pt/wp-content/uploads/2022/04/33_Catherine_Evo_Logo.jpg-2.webp
"VGel 034 Olivia 12ml","<h2>Verniz Gel EVO Olivia</h2>
\nVerniz Gel EVO Olivia é <strong>100% ecológico</strong>, o que os torna perfeitos para clientes preocupadas com o meio ambiente e com a sua saúde.
\nTodo o sistema verniz gel EVO é também totalmente compatível com a ampla gama de produtos da BIO Sculpture.
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li>Efeito 100% Gel</li>
\n 	<li>Sem primários</li>
\n 	<li>Altamente pigmentado para fácil cobertura;</li>
\n 	<li>Não encolhe, auto nivelante, e não amarela;</li>
\n 	<li>Até 4 semanas, fórmula de longa duração;</li>
\n 	<li>Catalisa em LED e UV;</li>
\n 	<li>Remoção rápida por impregnação de solução (soak-off)</li>
\n 	<li>10 Free - livre de 10 ingredientes tóxicos.</li>
\n 	<li>Rentabilidade - um frasco para 470 camadas de unhas tamanho médio.</li>
\n</ul>
\n</li>
\n</ul>
\n<strong><a href=""https://www.biosculpture.com/contact_us/"">Produto produzido na áfrica do Sul.</a></strong>
\n<h2>Valores</h2>
\nA<a href=""https://biosculpture.pt/sobre-a-bio-sculpture/""> <strong>BIO Sculpture</strong></a> cuida da unha natural e pele, utiliza produtos de tratamento antes e depois da aplicação com gel ou verniz gel, ou seja assegura que a unha e pele se mantenha saudável. Utilizando ingredientes que não só nutrem e hidratam as unhas e pele, como também embelezam.
\n
\nAssim, operamos com responsabilidade a nível do bem estar social, animal e ambiental, sem nunca comprometer os requisitos regulamentares dos ingredientes.
\n
\nTodos os nossos produtos são <strong>VEGAN</strong>, <strong>não tóxicos</strong> e contribuem para o aumento da saúde das unhas e pele, sendo adequados para grávidas e doentes oncológicos.
\n
\nA marca BIO Sculpture <strong>NÃO testa em animais</strong> e <strong>NÃO utiliza ingredientes de origem animal</strong>.
\n
\nTrabalhar com profissionalismo e formar profissionais altamente qualificados é uma das nossas missões. Os produtos BIO são vendidos a profissionais, caso não o seja, receberá indicações de como aplicar e maximizar o produto e seus resultados.
\n
\nA BIO Sculpture procura desenvolver embalagens que potenciam a utilização completa do produto de forma a que a profissional rentabilize por inteiro o produto que adquiriu e que seja amiga do ambiente. Todas as embalagens são recicláveis. Tratamos, embelezamos e reciclamos.
\n
\n<img class=""alignnone wp-image-931"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/cruelty-free-sign-212x300.jpg"" alt="""" width=""92"" height=""130"" /> <img class=""alignnone wp-image-932"" src=""https://biosculpture.pt/wp-content/uploads/2019/03/vegan-sign-212x300.jpg"" alt="""" width=""82"" height=""116"" />
\n
\n<strong>Representação de cores:</strong>
\nFazemos todos os esforços para garantir que todas as imagens dos nossos produtos sejam tão precisas quanto possível. Devido às configurações de cor / resolução em dispositivos eletrónicos, a imagens das cores podem diferir ligeiramente do produto físico.","17,84","https://biosculpture.pt/wp-content/uploads/2022/04/34_Olivia_Evo_Logo.jpg-2.webp, https://biosculpture.pt/wp-content/uploads/2022/04/Olivia-2.jpg, https://biosculpture.pt/wp-content/uploads/2022/04/evo-olivia-sharm_effect_hands_1024x1024.jpg"
"VGel 035 Juanel 12ml","<h2>Verniz Gel EVO Juanel</h2>
\nVerniz Gel EVO Juanel é <strong>100% ecológico</strong>, o que os torna perfeitos para clientes preocupadas com o meio ambiente e com a sua saúde.
\nTodo o sistema verniz gel EVO é também totalmente compatível com a ampla gama de produtos da BIO Sculpture.
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li>Efeito 100% Gel</li>
\n 	<li>Sem primários</li>
\n 	<li>Altamente pigmentado para fácil cobertura;</li>
\n 	<li>Não encolhe, auto nivelante, e não amarela;</li>
\n 	<li>Até 4 semanas, fórmula de longa duração;</li>
\n 	<li>Catalisa em LED e UV;</li>
\n 	<li>Remoção rápida por impregnação de solução (soak-off)</li>
\n 	<li>10 Free - livre de 10 ingredientes tóxicos.</li>
\n 	<li>Rentabilidade - um frasco para 470 camadas de unhas tamanho médio.</li>
\n</ul>
\n</li>
\n</ul>
\n<strong><a href=""https://www.biosculpture.com/contact_us/"">Produto produzido na áfrica do Sul.</a></strong>
